season,season_formatted,team,points,previous_season_points,change_in_points,place,previous_season_place,change_in_place
2017,2017-18,Arizona Coyotes,70,70,0,29,27,-2
2017,2017-18,Ottawa Senators,67,98,-31,30,12,-18
2017,2017-18,Buffalo Sabres,62,78,-16,31,26,-5
2018,2018-19,Tampa Bay Lightning,128,113,15,1,3,2
2018,2018-19,Boston Bruins,107,112,-5,2,4,2
2018,2018-19,Calgary Flames,107,84,23,2,20,18
2018,2018-19,Washington Capitals,104,105,-1,4,6,2
2018,2018-19,New York Islanders,103,80,23,5,22,17
2018,2018-19,San Jose Sharks,101,100,1,6,10,4
2018,2018-19,Toronto Maple Leafs,100,105,-5,7,6,-1
2018,2018-19,Nashville Predators,100,117,-17,7,1,-6
2018,2018-19,Pittsburgh Penguins,100,100,0,7,10,3
2018,2018-19,Carolina Hurricanes,99,83,16,10,21,11
2018,2018-19,St. Louis Blues,99,94,5,10,18,8
2018,2018-19,Winnipeg Jets,99,114,-15,10,2,-8
2018,2018-19,Columbus Blue Jackets,98,97,1,13,14,1
2018,2018-19,Montréal Canadiens,96,71,25,14,28,14
2018,2018-19,Dallas Stars,93,92,1,15,19,4
2018,2018-19,Vegas Golden Knights,93,109,-16,15,5,-10
2018,2018-19,Colorado Avalanche,90,95,-5,17,17,0
2018,2018-19,Arizona Coyotes,86,70,16,18,29,11
2018,2018-19,Florida Panthers,86,96,-10,18,16,-2
2018,2018-19,Chicago Blackhawks,84,76,8,20,25,5
2018,2018-19,Minnesota Wild,83,101,-18,21,8,-13
2018,2018-19,Philadelphia Flyers,82,98,-16,22,12,-10
2018,2018-19,Vancouver Canucks,81,73,8,23,26,3
2018,2018-19,Anaheim Ducks,80,101,-21,24,8,-16
2018,2018-19,Edmonton Oilers,79,78,1,25,23,-2
2018,2018-19,New York Rangers,78,77,1,26,24,-2
2018,2018-19,Buffalo Sabres,76,62,14,27,31,4
2018,2018-19,Detroit Red Wings,74,73,1,28,26,-2
2018,2018-19,New Jersey Devils,72,97,-25,29,14,-15
2018,2018-19,Los Angeles Kings,71,98,-27,30,12,-18
2018,2018-19,Ottawa Senators,64,67,-3,31,30,-1
2019,2019-20,Boston Bruins,100,107,-7,1,2,1
2019,2019-20,St. Louis Blues,94,99,-5,2,10,8
2019,2019-20,Tampa Bay Lightning,92,128,-36,3,1,-2
2019,2019-20,Colorado Avalanche,92,90,2,3,17,14
2019,2019-20,Washington Capitals,90,104,-14,5,4,-1
2019,2019-20,Philadelphia Flyers,89,82,7,6,22,16
2019,2019-20,Vegas Golden Knights,86,93,-7,7,15,8
2019,2019-20,Pittsburgh Penguins,86,100,-14,7,7,0
2019,2019-20,Edmonton Oilers,83,79,4,9,25,16
2019,2019-20,Dallas Stars,82,93,-11,10,15,5
2019,2019-20,Toronto Maple Leafs,81,100,-19,11,7,-4
2019,2019-20,Carolina Hurricanes,81,99,-18,11,10,-1
2019,2019-20,Columbus Blue Jackets,81,98,-17,11,13,2
2019,2019-20,Winnipeg Jets,80,99,-19,14,10,-4
2019,2019-20,New York Islanders,80,103,-23,14,5,-9
2019,2019-20,New York Rangers,79,78,1,16,26,10
2019,2019-20,Calgary Flames,79,107,-28,16,2,-14
2019,2019-20,Vancouver Canucks,78,81,-3,18,23,5
2019,2019-20,Florida Panthers,78,86,-8,18,18,0
2019,2019-20,Nashville Predators,78,100,-22,18,7,-11
2019,2019-20,Minnesota Wild,77,83,-6,21,21,0
2019,2019-20,Arizona Coyotes,74,86,-12,22,18,-4
2019,2019-20,Chicago Blackhawks,72,84,-12,23,20,-3
2019,2019-20,Montréal Canadiens,71,96,-25,24,14,-10
2019,2019-20,Buffalo Sabres,68,76,-8,25,27,2
2019,2019-20,New Jersey Devils,68,72,-4,25,29,4
2019,2019-20,Anaheim Ducks,67,80,-13,27,24,-3
2019,2019-20,Los Angeles Kings,64,71,-7,28,30,2
2019,2019-20,San Jose Sharks,63,101,-38,29,6,-23
2019,2019-20,Ottawa Senators,62,64,-2,30,31,1
2019,2019-20,Detroit Red Wings,39,74,-35,31,28,-3
2020,2020-21,Colorado Avalanche,82,92,-10,1,3,2
2020,2020-21,Vegas Golden Knights,82,86,-4,1,7,6
2020,2020-21,Carolina Hurricanes,80,81,-1,3,11,8
2020,2020-21,Florida Panthers,79,78,1,4,18,14
2020,2020-21,Pittsburgh Penguins,77,86,-9,5,7,2
2020,2020-21,Toronto Maple Leafs,77,81,-4,5,11,6
2020,2020-21,Washington Capitals,77,90,-13,5,5,0
2020,2020-21,Tampa Bay Lightning,75,92,-17,8,3,-5
2020,2020-21,Minnesota Wild,75,77,-2,8,21,13
2020,2020-21,Boston Bruins,73,100,-27,10,1,-9
2020,2020-21,Edmonton Oilers,72,83,-11,11,9,-2
2020,2020-21,New York Islanders,71,80,-9,12,14,2
2020,2020-21,Nashville Predators,64,78,-14,13,18,5
2020,2020-21,St. Louis Blues,63,94,-31,14,2,-12
2020,2020-21,Winnipeg Jets,63,80,-17,14,14,0
2020,2020-21,New York Rangers,60,79,-19,16,16,0
2020,2020-21,Dallas Stars,60,82,-22,16,10,-6
2020,2020-21,Montréal Canadiens,59,71,-12,18,24,6
2020,2020-21,Philadelphia Flyers,58,89,-31,19,6,-13
2020,2020-21,Chicago Blackhawks,55,72,-17,20,23,3
2020,2020-21,Calgary Flames,55,79,-24,20,16,-4
2020,2020-21,Arizona Coyotes,54,74,-20,22,22,0
2020,2020-21,Ottawa Senators,51,62,-11,23,30,7
2020,2020-21,Vancouver Canucks,50,78,-28,24,18,-6
2020,2020-21,San Jose Sharks,49,63,-14,25,29,4
2020,2020-21,Los Angeles Kings,49,64,-15,25,28,3
2020,2020-21,Detroit Red Wings,48,39,9,27,31,4
2020,2020-21,Columbus Blue Jackets,48,81,-33,27,11,-16
2020,2020-21,New Jersey Devils,45,68,-23,29,25,-4
2020,2020-21,Anaheim Ducks,43,67,-24,30,27,-3
2020,2020-21,Buffalo Sabres,37,68,-31,31,25,-6
2021,2021-22,Florida Panthers,122,79,43,1,4,3
2021,2021-22,Colorado Avalanche,119,82,37,2,1,-1
2021,2021-22,Carolina Hurricanes,116,80,36,3,3,0
2021,2021-22,Toronto Maple Leafs,115,77,38,4,5,1
2021,2021-22,Minnesota Wild,113,75,38,5,8,3
2021,2021-22,Calgary Flames,111,55,56,6,20,14
2021,2021-22,Tampa Bay Lightning,110,75,35,7,8,1
2021,2021-22,New York Rangers,110,60,50,7,16,9
2021,2021-22,St. Louis Blues,109,63,46,9,14,5
2021,2021-22,Boston Bruins,107,73,34,10,10,0
2021,2021-22,Edmonton Oilers,104,72,32,11,11,0
2021,2021-22,Pittsburgh Penguins,103,77,26,12,5,-7
2021,2021-22,Washington Capitals,100,77,23,13,5,-8
2021,2021-22,Los Angeles Kings,99,49,50,14,25,11
2021,2021-22,Dallas Stars,98,60,38,15,16,1
2021,2021-22,Nashville Predators,97,64,33,16,13,-3
2021,2021-22,Vegas Golden Knights,94,82,12,17,1,-16
2021,2021-22,Vancouver Canucks,92,50,42,18,24,6
2021,2021-22,Winnipeg Jets,89,63,26,19,14,-5
2021,2021-22,New York Islanders,84,71,13,20,12,-8
2021,2021-22,Columbus Blue Jackets,81,48,33,21,27,6
2021,2021-22,San Jose Sharks,77,49,28,22,25,3
2021,2021-22,Anaheim Ducks,76,43,33,23,30,7
2021,2021-22,Buffalo Sabres,75,37,38,24,31,7
2021,2021-22,Detroit Red Wings,74,48,26,25,27,2
2021,2021-22,Ottawa Senators,73,51,22,26,23,-3
2021,2021-22,Chicago Blackhawks,68,55,13,27,20,-7
2021,2021-22,New Jersey Devils,63,45,18,28,29,1
2021,2021-22,Philadelphia Flyers,61,58,3,29,19,-10
2021,2021-22,Seattle Kraken,60,0,0,30,0,0
2021,2021-22,Arizona Coyotes,57,54,3,31,22,-9
2021,2021-22,Montréal Canadiens,55,59,-4,32,18,-14
