season,season_formatted,team,points,previous_season_points,change_in_points,previous_season_place,change_in_place
2019,2019-20,Tampa Bay Lightning,92,128,-36,1,-2
2019,2019-20,Colorado Avalanche,92,90,2,17,13
2019,2019-20,Washington Capitals,90,104,-14,4,-1
2019,2019-20,Philadelphia Flyers,89,82,7,22,16
2019,2019-20,Vegas Golden Knights,86,93,-7,16,9
2019,2019-20,Pittsburgh Penguins,86,100,-14,9,1
2019,2019-20,Edmonton Oilers,83,79,4,25,16
2019,2019-20,Dallas Stars,82,93,-11,15,5
2019,2019-20,Toronto Maple Leafs,81,100,-19,7,-4
2019,2019-20,Carolina Hurricanes,81,99,-18,10,-2
2019,2019-20,Columbus Blue Jackets,81,98,-17,13,0
2019,2019-20,Winnipeg Jets,80,99,-19,11,-3
2019,2019-20,New York Islanders,80,103,-23,5,-10
2019,2019-20,New York Rangers,79,78,1,26,10
2019,2019-20,Calgary Flames,79,107,-28,3,-14
2019,2019-20,Vancouver Canucks,78,81,-3,23,5
2019,2019-20,Florida Panthers,78,86,-8,19,0
2019,2019-20,Nashville Predators,78,100,-22,8,-12
2019,2019-20,Minnesota Wild,77,83,-6,21,0
2019,2019-20,Arizona Coyotes,74,86,-12,18,-4
2019,2019-20,Chicago Blackhawks,72,84,-12,20,-3
2019,2019-20,Montréal Canadiens,71,96,-25,14,-10
2019,2019-20,Buffalo Sabres,68,76,-8,27,2
2019,2019-20,New Jersey Devils,68,72,-4,29,3
2019,2019-20,Anaheim Ducks,67,80,-13,24,-3
2019,2019-20,Los Angeles Kings,64,71,-7,30,2
2019,2019-20,San Jose Sharks,63,101,-38,6,-23
2019,2019-20,Ottawa Senators,62,64,-2,31,1
2019,2019-20,Detroit Red Wings,39,74,-35,28,-3
2020,2020-21,Colorado Avalanche,82,92,-10,4,3
2020,2020-21,Vegas Golden Knights,82,86,-4,7,5
2020,2020-21,Carolina Hurricanes,80,81,-1,12,9
2020,2020-21,Florida Panthers,79,78,1,19,15
2020,2020-21,Pittsburgh Penguins,77,86,-9,8,3
2020,2020-21,Toronto Maple Leafs,77,81,-4,11,5
2020,2020-21,Washington Capitals,77,90,-13,5,-2
2020,2020-21,Tampa Bay Lightning,75,92,-17,3,-5
2020,2020-21,Minnesota Wild,75,77,-2,21,12
2020,2020-21,Boston Bruins,73,100,-27,1,-9
2020,2020-21,Edmonton Oilers,72,83,-11,9,-2
2020,2020-21,New York Islanders,71,80,-9,15,3
2020,2020-21,Nashville Predators,64,78,-14,20,7
2020,2020-21,St. Louis Blues,63,94,-31,2,-12
2020,2020-21,Winnipeg Jets,63,80,-17,14,-1
2020,2020-21,New York Rangers,60,79,-19,16,0
2020,2020-21,Dallas Stars,60,82,-22,10,-7
2020,2020-21,Montréal Canadiens,59,71,-12,24,6
2020,2020-21,Philadelphia Flyers,58,89,-31,6,-13
2020,2020-21,Chicago Blackhawks,55,72,-17,23,3
2020,2020-21,Calgary Flames,55,79,-24,17,-4
2020,2020-21,Arizona Coyotes,54,74,-20,22,0
2020,2020-21,Ottawa Senators,51,62,-11,30,7
2020,2020-21,Vancouver Canucks,50,78,-28,18,-6
2020,2020-21,San Jose Sharks,49,63,-14,29,4
2020,2020-21,Los Angeles Kings,49,64,-15,28,2
2020,2020-21,Detroit Red Wings,48,39,9,31,4
2020,2020-21,Columbus Blue Jackets,48,81,-33,13,-15
2020,2020-21,New Jersey Devils,45,68,-23,26,-3
2020,2020-21,Anaheim Ducks,43,67,-24,27,-3
2020,2020-21,Buffalo Sabres,37,68,-31,25,-6
2021,2021-22,Florida Panthers,122,79,43,4,3
2021,2021-22,Colorado Avalanche,119,82,37,1,-1
2021,2021-22,Carolina Hurricanes,116,80,36,3,0
2021,2021-22,Toronto Maple Leafs,115,77,38,6,2
2021,2021-22,Minnesota Wild,113,75,38,9,4
2021,2021-22,Calgary Flames,111,55,56,21,15
2021,2021-22,Tampa Bay Lightning,110,75,35,8,1
2021,2021-22,New York Rangers,110,60,50,16,8
2021,2021-22,St. Louis Blues,109,63,46,14,5
2021,2021-22,Boston Bruins,107,73,34,10,0
2021,2021-22,Edmonton Oilers,104,72,32,11,0
2021,2021-22,Pittsburgh Penguins,103,77,26,5,-7
2021,2021-22,Washington Capitals,100,77,23,7,-6
2021,2021-22,Los Angeles Kings,99,49,50,26,12
2021,2021-22,Dallas Stars,98,60,38,17,2
2021,2021-22,Nashville Predators,97,64,33,13,-3
2021,2021-22,Vegas Golden Knights,94,82,12,2,-15
2021,2021-22,Vancouver Canucks,92,50,42,24,6
2021,2021-22,Winnipeg Jets,89,63,26,15,-4
2021,2021-22,New York Islanders,84,71,13,12,-8
2021,2021-22,Columbus Blue Jackets,81,48,33,28,7
2021,2021-22,San Jose Sharks,77,49,28,25,3
2021,2021-22,Anaheim Ducks,76,43,33,30,7
2021,2021-22,Buffalo Sabres,75,37,38,31,7
2021,2021-22,Detroit Red Wings,74,48,26,27,2
2021,2021-22,Ottawa Senators,73,51,22,23,-3
2021,2021-22,Chicago Blackhawks,68,55,13,20,-7
2021,2021-22,New Jersey Devils,63,45,18,29,1
2021,2021-22,Philadelphia Flyers,61,58,3,19,-10
2021,2021-22,Seattle Kraken,60,0,0,0,0
2021,2021-22,Arizona Coyotes,57,54,3,22,-9
2021,2021-22,Montréal Canadiens,55,59,-4,18,-14
